,Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW,KLOGH
128,3975.0,43582.533,1.8850254,0.0091380434,0.2589178633718068,0.2145243127750216,0.94185370105465,137.27857244744257
129,3980.0,45641.461,1.9994082,0.0086355724,0.0449432068649356,0.236283338219168,0.9999940362435584,1.695416166934122
130,3985.0,45390.125,1.9984904,0.0087243139,0.213101326531459,0.0980453220603761,1.0000000000000002,665.6370210150421
131,3990.0,55678.462,2.0000979,0.0090584315,0.2044072880217103,0.1370215775458449,0.9994955391866563,252.33811352411317
132,3995.0,65754.122,1.9986802,0.0088096568,0.209105034062165,0.1087114897333222,0.9999999999353116,495.1497138829793
133,4000.0,72975.358,1.9995409,0.0081554297,0.201056138116158,0.0923040545346111,0.9999999999901228,599.3207899499922
134,4005.0,77870.783,1.9997689,0.0081491823,0.2353631616852499,0.1575798756971586,0.9932482304145612,290.38776481249806
135,4010.0,78076.674,1.9995536,0.0081690697,0.2007501483549574,0.1343609670904981,1.0000000000010252,248.2500244177072
136,4015.0,62886.43700000001,2.0012174,0.0072879487,0.2003127751199142,0.1374244595606167,1.000017202252958,230.78841651532383
137,4020.0,42217.174000000006,2.0011557,0.0088036087,0.2046242176200991,0.1393436170655864,1.0000431862396568,242.06341258811275
138,4025.0,31794.46,2.0003171,0.0088138425,0.2140396819880814,0.113573257821668,0.9999919452563794,490.2729805127655
139,4030.0,27584.207,2.0014861,0.0088215756999999,0.2240003609866022,0.1045918507668138,0.9997960145413514,709.158934777162
140,4035.0,29556.685,2.000534,0.0088040987,0.230225299610731,0.1138852794749404,0.9999999999023088,661.413317331075
141,4040.0,34031.728,2.0001419,0.0087213167,0.1535037609728431,0.1870567687536887,1.0047286413762266,35.653800655660234
142,4045.0,42810.41,1.9996809,0.0084914637,0.1740206219158504,0.2537226472265753,0.9921551509222422,12.817196626397273
143,4050.0,48561.64,1.9797667,0.0081012193,0.2109087894313031,0.1608967674920303,1.0000000049474291,164.6616776888325
144,4055.0,48997.73,1.9846151,0.0081532547,0.2285354203378938,0.2398185190735285,0.9999999999999998,46.74032497187586
145,4060.0,54226.75900000001,1.9980334,0.0088148207,0.1560142192059078,0.2584001431106064,1.0,7.762621677646479
146,4065.0,71081.75200000001,2.1042577,0.0088082842,0.0877384252891668,0.2915856913903306,0.9999999999999996,0.1629246551047394
147,4070.0,72756.62599999999,2.3330382000000003,0.0088243614,0.0194237125230717,0.5031748127308423,1.00000002232135,-0.0011240698116164
148,4075.0,83526.789,2.3333259,0.0087985597,0.0546825872260217,0.6896400674389931,1.0000979838364887,0.0022614979402332
149,4080.0,84496.549,2.334673,0.008374846,0.0228570000000508,0.6401000146441888,1.0,0.001
150,4085.0,86658.55900000001,2.3313385,0.0084540851,0.022857,0.6401,1.0000000000000002,0.001
